"lon","lat","datetime","accuracy","speed"
1.9662087,48.9349946,"2014-05-09 18:12:14",8,29.25
1.965825,48.9351206,"2014-05-09 18:12:15",7,29.25
1.9654464,48.9351759,"2014-05-09 18:12:16",7,29
1.9651139,48.935307,"2014-05-09 18:12:18",8,28.75
1.946236,48.9470886,"2014-05-09 18:13:29",1161,NA
1.9430758,48.9493982,"2014-05-09 18:13:38",1161,NA
1.9258903,48.9645065,"2014-05-09 18:14:38",1337,NA
1.9254824,48.9645219,"2014-05-09 18:14:50",1337,NA
1.9102485,48.9704175,"2014-05-09 18:15:23",9,30.7540645599365
1.9098411,48.9704329,"2014-05-09 18:15:24",9,30.7540645599365
1.9089555,48.9704685,"2014-05-09 18:15:26",7,31
1.9081266,48.9704103,"2014-05-09 18:15:28",5,30.75
1.9077087,48.9704352,"2014-05-09 18:15:29",5,30.75
1.907284,48.9704443,"2014-05-09 18:15:30",5,31
1.9068476,48.9704474,"2014-05-09 18:15:31",4,30.5
1.9064258,48.9704648,"2014-05-09 18:15:32",4,30.75
1.9056158,48.9704697,"2014-05-09 18:15:34",5,30
1.9051819,48.9704615,"2014-05-09 18:15:35",4,30.25
1.9047647,48.9704604,"2014-05-09 18:15:36",5,30.5
1.9043572,48.9704652,"2014-05-09 18:15:37",5,30.5
1.9039427,48.9704679,"2014-05-09 18:15:38",5,30.5
1.9031392,48.9704538,"2014-05-09 18:15:40",6,30.25
1.9023225,48.9704428,"2014-05-09 18:15:42",8,30.25
1.9019193,48.9704288,"2014-05-09 18:15:43",8,30
1.9015279,48.9704337,"2014-05-09 18:15:44",9,29.75
1.9007584,48.970458,"2014-05-09 18:15:46",6,29
1.9003426,48.9704523,"2014-05-09 18:15:47",5,28.5
1.8999625,48.970458,"2014-05-09 18:15:48",5,28.5
1.8528201,48.9655908,"2014-05-09 18:17:39",1540,NA
1.8286088,48.9637864,"2014-05-09 18:18:52",16,28.320707321167
1.8280421,48.9636967,"2014-05-09 18:18:53",14,28.5175380706787
1.8277339,48.9638097,"2014-05-09 18:18:54",13,28.25
1.8270261,48.963914,"2014-05-09 18:18:56",10,28.5043849945068
1.8266234,48.9639822,"2014-05-09 18:18:57",3.90000009536743,29
1.8262612,48.9640407,"2014-05-09 18:18:59",4,29.25
1.8255143,48.9641488,"2014-05-09 18:19:00",3.90000009536743,29.25
1.8247409,48.9642526,"2014-05-09 18:19:02",3.90000009536743,28.5
1.824361,48.9643066,"2014-05-09 18:19:04",4,28.25
1.8232714,48.964458,"2014-05-09 18:19:06",3.90000009536743,26.75
1.8229145,48.964505,"2014-05-09 18:19:07",3.90000009536743,26.75
1.8222141,48.9646132,"2014-05-09 18:19:09",4,26.5
1.8218621,48.964665,"2014-05-09 18:19:10",4,26.5
1.8215156,48.9647223,"2014-05-09 18:19:11",4,26.25
1.8211623,48.9647777,"2014-05-09 18:19:12",3.90000009536743,26.5
1.8204344,48.9648747,"2014-05-09 18:19:14",4,27.25
1.82007,48.9649189,"2014-05-09 18:19:15",4,27
1.8193521,48.9650371,"2014-05-09 18:19:17",4,27.25
1.8189856,48.9650959,"2014-05-09 18:19:19",4,27.25
1.7937337,48.9640983,"2014-05-09 18:20:09",1528,NA
1.7935117,48.9640841,"2014-05-09 18:20:20",1506,NA
1.7936597,48.9640935,"2014-05-09 18:20:29",1506,NA
1.7937337,48.9640982,"2014-05-09 18:20:39",1528,NA
1.7592576,48.9658492,"2014-05-09 18:21:30",1612,NA
1.7469568,48.9672533,"2014-05-09 18:22:25",31,24.5051021575928
1.7467239,48.9674813,"2014-05-09 18:22:27",14,24.75
1.7461401,48.9676259,"2014-05-09 18:22:28",8,25.25
1.7458029,48.9676667,"2014-05-09 18:22:29",8,25.25
1.7451754,48.9678679,"2014-05-09 18:22:31",5,25
1.7445557,48.9680685,"2014-05-09 18:22:33",5,25
1.7442431,48.9681618,"2014-05-09 18:22:34",5,25.25
1.7436312,48.9683494,"2014-05-09 18:22:36",7,25
1.7429572,48.9685054,"2014-05-09 18:22:38",9,25.5
1.7425919,48.9685613,"2014-05-09 18:22:39",7,25.75
1.741892,48.9686916,"2014-05-09 18:22:41",6,26.5
1.7415328,48.968758,"2014-05-09 18:22:42",6,27
1.7408412,48.9688523,"2014-05-09 18:22:44",4,26.5
1.740501,48.9689061,"2014-05-09 18:22:45",4,26.5
1.7398084,48.969019,"2014-05-09 18:22:47",4,26.25
1.7391272,48.9691174,"2014-05-09 18:22:49",4,26
1.7237915,48.9771597,"2014-05-09 18:23:51",38,NA
1.7250143,48.9804273,"2014-05-09 18:24:42",23,NA
1.7250908,48.9804152,"2014-05-09 18:24:53",16.5580005645752,NA
1.7251713,48.9803959,"2014-05-09 18:25:20",14.8290004730225,NA
1.7278578,48.977825,"2014-05-09 18:25:43",26,NA
1.7316401,48.9752176,"2014-05-09 18:26:30",37.2389984130859,NA
1.7312514,48.9697372,"2014-05-09 18:27:10",28.636999130249,NA
1.7306627,48.9662107,"2014-05-09 18:27:50",98.2819976806641,NA
1.73064,48.9656829,"2014-05-09 18:27:54",21.742000579834,NA
1.7314163,48.9615858,"2014-05-09 18:28:20",36.556999206543,NA
1.731412,48.9616758,"2014-05-09 18:28:30",23.8929996490479,NA
1.743613,48.9611249,"2014-05-09 18:29:20",31.1760005950928,NA
1.7593108,48.9515259,"2014-05-09 18:31:02",36,NA
1.7566378,48.9502342,"2014-05-09 18:31:36",30,NA
1.7567334,48.9502257,"2014-05-09 18:32:10",12.5640001296997,NA
1.7568038,48.950224,"2014-05-09 18:32:22",10,NA
1.7568433,48.9501784,"2014-05-09 18:32:31",7,NA
1.756819,48.9502668,"2014-05-09 18:32:34",11,0.5
1.7568589,48.9502263,"2014-05-09 18:32:54",3.90000009536743,NA
1.7567436,48.950223,"2014-05-09 20:45:15",9,0.55901700258255
1.7568105,48.9501994,"2014-05-09 20:45:16",10,NA
1.7566796,48.9502087,"2014-05-09 20:47:01",35.6510009765625,NA
1.7568968,48.9502106,"2014-05-09 20:47:38",17,1
1.7568343,48.9501858,"2014-05-09 20:47:40",16,1.80277562141418
1.7568257,48.9501392,"2014-05-09 20:47:41",12,2.35849523544312
1.7568264,48.9501982,"2014-05-09 20:47:43",15,1.1180340051651
1.7567954,48.9501577,"2014-05-09 20:47:46",10,NA
1.7567291,48.9501697,"2014-05-09 20:48:11",10,NA
1.7568182,48.9501836,"2014-05-09 20:58:40",24,NA
1.7566683,48.9501745,"2014-05-09 20:59:41",37.0540008544922,NA
1.7568659,48.9502087,"2014-05-09 21:03:54",21.1609992980957,NA
1.7567821,48.9501479,"2014-05-09 21:04:05",13,NA
1.7567142,48.950175,"2014-05-09 21:05:10",10,NA
1.7566452,48.9501723,"2014-05-09 21:06:52",10,NA
1.7564639,48.9501712,"2014-05-09 21:08:22",30,NA
1.7563795,48.9501759,"2014-05-09 21:09:24",27,NA
1.756607,48.9500686,"2014-05-09 21:10:58",27,NA
1.7567328,48.950131,"2014-05-09 21:12:02",27,NA
1.7568352,48.9501911,"2014-05-09 21:14:22",22,NA
1.7567434,48.950169,"2014-05-09 21:18:00",29.0370006561279,NA
1.7566073,48.9500687,"2014-05-09 21:19:01",24,NA
1.7563986,48.9501671,"2014-05-09 21:20:03",27,NA
1.7565566,48.9501787,"2014-05-09 21:21:04",27,NA
1.7567109,48.950183,"2014-05-09 21:23:21",27.1159992218018,NA
1.7567659,48.9501484,"2014-05-09 21:24:22",25,NA
1.7565092,48.9501429,"2014-05-09 21:26:24",26,NA
1.7566748,48.950168,"2014-05-09 21:28:32",28,NA
1.7567505,48.9501468,"2014-05-09 21:29:33",24,NA
1.7566063,48.9501682,"2014-05-09 21:32:35",27,NA
1.7564943,48.950172,"2014-05-09 21:34:37",28,NA
1.7566073,48.9500687,"2014-05-09 21:36:50",24,NA
1.7564204,48.950157,"2014-05-09 21:37:41",25,NA
1.7564908,48.9501574,"2014-05-09 21:37:55",13.875,NA
1.7568557,48.9500994,"2014-05-09 21:37:59",11,0.75
1.7567896,48.9500365,"2014-05-09 21:38:00",12,1.34629118442535
1.7567619,48.950093,"2014-05-09 21:38:02",10,3.01039862632751
1.7566971,48.9501115,"2014-05-09 21:40:19",10,NA
1.7567122,48.9501749,"2014-05-09 21:42:25",28,NA
1.7566175,48.950161,"2014-05-09 21:43:27",29,NA
1.7567319,48.9501737,"2014-05-09 21:45:30",27.9400005340576,NA
1.7568044,48.9501769,"2014-05-09 21:46:32",26,NA
1.7567437,48.9501422,"2014-05-09 21:49:37",24,NA
1.756607,48.9500686,"2014-05-09 21:50:58",24,NA
1.7567577,48.9501583,"2014-05-09 21:51:59",29,NA
1.756622,48.9501532,"2014-05-09 22:08:22",29,NA
1.7567596,48.9501383,"2014-05-09 22:12:01",28,NA
1.7566926,48.9501706,"2014-05-09 22:12:11",5,2.69258236885071
1.7567477,48.9501359,"2014-05-09 22:12:15",10,NA
1.7566667,48.9501481,"2014-05-09 22:13:47",10,NA
1.7567893,48.9501573,"2014-05-09 22:16:37",26,NA
1.7566993,48.9501061,"2014-05-09 22:18:02",29,NA
1.7566741,48.9500478,"2014-05-09 22:20:05",30,NA
1.7565446,48.9501506,"2014-05-09 22:21:06",28,NA
1.75641,48.9501464,"2014-05-09 22:22:08",28,NA
1.756607,48.9500686,"2014-05-09 22:26:14",24,NA
1.7563862,48.9501721,"2014-05-09 22:28:16",26,NA
1.7564753,48.9501555,"2014-05-09 22:29:17",32,NA
1.7565443,48.9501792,"2014-05-09 22:30:19",34,NA
1.7566937,48.9501605,"2014-05-09 22:36:10",27,NA
1.7565591,48.9501674,"2014-05-09 22:37:11",32,NA
1.7564183,48.950138,"2014-05-09 22:38:12",30,NA
1.7564753,48.9501655,"2014-05-09 22:43:17",28,NA
1.7567868,48.9501535,"2014-05-09 22:44:19",27,NA
1.756718,48.9501233,"2014-05-09 22:46:37",6,1.1180340051651
1.7566414,48.9501602,"2014-05-09 22:47:15",10,NA
1.756607,48.9500686,"2014-05-09 22:50:58",24,NA
1.7567263,48.9501307,"2014-05-09 22:52:27",27,NA
1.7564585,48.9501632,"2014-05-09 22:53:28",30,NA
1.7563745,48.9501759,"2014-05-09 22:55:30",27,NA
1.7566065,48.9500686,"2014-05-09 22:56:31",27,NA
1.7564277,48.9501584,"2014-05-09 22:58:34",27,NA
1.7566618,48.9501626,"2014-05-09 22:59:35",30,NA
1.7567524,48.9501306,"2014-05-09 23:03:39",29,NA
1.7566171,48.9501329,"2014-05-09 23:07:56",29,NA
1.7566923,48.9501434,"2014-05-09 23:08:58",30,NA
1.756795,48.9501518,"2014-05-09 23:11:17",27,NA
1.7567191,48.9501582,"2014-05-09 23:12:27",29,NA
1.7566393,48.9501493,"2014-05-09 23:13:28",32,NA
1.7564912,48.9501044,"2014-05-09 23:14:29",27,NA
1.756637,48.9501508,"2014-05-09 23:16:31",32,NA
1.7565114,48.9501625,"2014-05-09 23:17:33",30,NA
1.7566141,48.9501817,"2014-05-09 23:18:38",30,NA
1.7566942,48.9501616,"2014-05-09 23:20:49",16.6800003051758,NA
1.7567094,48.9501099,"2014-05-09 23:20:54",14,NA
1.7567015,48.9501587,"2014-05-09 23:20:56",10,NA
1.7565898,48.9501622,"2014-05-09 23:21:34",10,NA
1.7564901,48.9501704,"2014-05-09 23:26:45",28,NA
1.756607,48.9500686,"2014-05-09 23:29:50",24,NA
1.7564158,48.9501615,"2014-05-09 23:30:51",30,NA
1.756607,48.9500686,"2014-05-09 23:33:55",24,NA
1.7567524,48.9501306,"2014-05-09 23:35:59",29,NA
1.7566014,48.9501245,"2014-05-09 23:38:02",26,NA
1.7566969,48.9501561,"2014-05-09 23:39:02",29,NA
1.756508,48.9501678,"2014-05-09 23:40:16",30,NA
1.7567967,48.9501576,"2014-05-09 23:43:52",27,NA
1.756547,48.9501801,"2014-05-09 23:46:56",26,NA
1.7567963,48.9501696,"2014-05-09 23:49:59",29,NA
1.7567263,48.9501307,"2014-05-09 23:52:02",27,NA
1.7564621,48.9501415,"2014-05-09 23:54:16",30,NA
1.7566776,48.950235,"2014-05-09 23:54:24",15,NA
1.7567674,48.9501961,"2014-05-09 23:54:25",12,NA
1.7566732,48.9501933,"2014-05-09 23:54:26",10,NA
1.7567383,48.9501667,"2014-05-09 23:54:30",9,NA
1.7566592,48.9501614,"2014-05-09 23:56:24",10,NA
